timestamp,day,count
2022-06-01 18:00:02.322077,2022-06-01,1
2022-06-02 02:00:02.044396,2022-06-02,0
2022-06-03 02:00:02.566638,2022-06-03,0
2022-06-03 18:00:01.981244,2022-06-03,1
2022-06-03 18:00:01.981244,2022-06-02,1
2022-06-04 02:00:02.408778,2022-06-04,0
2022-06-04 14:00:02.488761,2022-06-04,1
2022-06-05 02:00:01.736165,2022-06-05,0
2022-06-05 18:00:02.355033,2022-06-05,2
2022-06-05 18:00:02.355033,2022-06-04,2
2022-06-05 23:00:02.165712,2022-06-06,0
2022-06-05 23:00:02.165712,2022-06-05,3
2022-06-06 14:00:01.907195,2022-06-06,3
2022-06-06 16:00:01.869810,2022-06-05,4
2022-06-06 16:00:01.869810,2022-06-03,2
2022-06-07 02:00:02.376193,2022-06-07,0
2022-06-07 18:00:02.434242,2022-06-07,1
2022-06-07 18:00:02.434242,2022-06-06,4
2022-06-08 02:00:02.452641,2022-06-08,0
2022-06-08 18:00:02.363572,2022-06-08,1
2022-06-09 02:00:02.576563,2022-06-09,0
2022-06-09 18:00:02.070420,2022-06-09,1
2022-06-10 02:00:01.920265,2022-06-10,0
2022-06-11 02:00:02.001074,2022-06-11,0
2022-06-11 15:00:02.466047,2022-06-10,1
2022-06-12 02:00:01.818289,2022-06-12,0
2022-06-13 02:00:01.926825,2022-06-13,0
2022-06-13 23:00:01.840177,2022-06-14,0
2022-06-14 02:00:02.341928,2022-06-13,1
2022-06-14 02:00:02.341928,2022-06-12,1
2022-06-14 02:00:02.341928,2022-06-09,2
2022-06-14 18:00:02.200826,2022-06-14,1
2022-06-14 18:00:02.200826,2022-06-13,2
2022-06-15 02:00:02.365618,2022-06-15,0
2022-06-16 02:00:02.609870,2022-06-14,3
2022-06-17 02:00:01.678764,2022-06-15,2
2022-06-18 02:00:02.590655,2022-06-15,0
2022-07-08 02:00:02.225681,2022-07-06,0
2022-07-08 02:00:02.225681,2022-07-05,0
2022-07-08 02:00:02.225681,2022-07-04,0
2022-07-08 02:00:02.225681,2022-07-03,2
2022-07-08 02:00:02.225681,2022-07-02,1
2022-07-08 02:00:02.225681,2022-07-01,1
2022-07-08 02:00:02.225681,2022-06-30,0
2022-07-08 02:00:02.225681,2022-06-29,0
2022-07-08 02:00:02.225681,2022-06-28,1
2022-07-08 02:00:02.225681,2022-06-27,3
2022-07-08 02:00:02.225681,2022-06-26,0
2022-07-08 02:00:02.225681,2022-06-25,0
2022-07-12 02:00:02.212892,2022-07-09,1
2022-07-12 02:00:02.212892,2022-07-08,1
2022-07-14 02:00:02.311092,2022-07-12,0
2022-07-14 02:00:02.311092,2022-07-11,0
2022-07-14 02:00:02.311092,2022-07-10,0
2022-07-14 02:00:02.311092,2022-07-07,0
2022-08-18 23:00:01.848883,2022-08-18,0
2022-08-18 23:00:01.848883,2022-08-17,0
2022-08-18 23:00:01.848883,2022-08-16,1
2022-08-18 23:00:01.848883,2022-08-15,1
2022-08-18 23:00:01.848883,2022-08-14,0
2022-08-18 23:00:01.848883,2022-08-13,1
2022-08-18 23:00:01.848883,2022-08-12,2
2022-08-18 23:00:01.848883,2022-08-11,1
2022-08-18 23:00:01.848883,2022-08-10,3
2022-08-18 23:00:01.848883,2022-08-09,1
2022-08-18 23:00:01.848883,2022-08-08,2
2022-08-18 23:00:01.848883,2022-08-07,0
2022-08-18 23:00:01.848883,2022-08-06,2
2022-08-22 12:00:01.774703,2022-08-22,0
2022-08-22 12:00:01.774703,2022-08-21,2
2022-08-22 12:00:01.774703,2022-08-20,0
2022-08-22 12:00:01.774703,2022-08-19,2
2022-08-22 12:00:01.774703,2022-08-17,1
2022-08-23 00:00:02.314793,2022-08-23,0
2022-08-24 02:00:01.813648,2022-08-24,0
2022-08-25 02:00:02.075213,2022-08-25,0
2022-08-25 02:00:02.075213,2022-08-23,3
2022-08-25 02:00:02.075213,2022-08-22,1
2022-08-25 02:00:02.075213,2022-08-20,1
2022-08-26 02:00:02.025409,2022-08-26,0
2022-08-27 02:00:02.300791,2022-08-27,0
2022-08-27 02:00:02.300791,2022-08-25,3
2022-08-27 02:00:02.300791,2022-08-24,2
2022-08-28 02:00:02.209468,2022-08-28,0
2022-08-29 02:00:01.815147,2022-08-29,0
2022-08-29 18:00:01.911456,2022-08-29,1
2022-08-30 02:00:01.999915,2022-08-30,0
2022-08-30 18:00:02.324239,2022-08-30,1
2022-08-30 19:00:02.489861,2022-08-31,0
2022-08-30 19:00:02.489861,2022-08-30,2
2022-08-31 18:00:02.160530,2022-08-30,3
2022-08-31 18:00:02.160530,2022-08-29,2
2022-08-31 19:00:02.099673,2022-09-01,0
2022-08-31 19:00:02.099673,2022-08-31,1
2022-09-01 18:00:01.729638,2022-09-01,1
2022-09-02 02:00:02.345930,2022-09-02,0
,2022-09-08,0
,2022-09-07,4
,2022-09-06,1
,2022-09-05,1
,2022-09-04,1
,2022-09-03,0
,2022-08-30,5
2022-09-08 19:00:01.758028,2022-09-09,0
2022-09-08 19:00:01.758028,2022-09-08,1
2022-09-08 19:00:01.758028,2022-09-07,5
2022-09-09 18:00:01.687174,2022-09-09,3
2022-09-10 02:00:02.488530,2022-09-10,0
